id,sku,precio,fecha_actualizacion,fecha_vigencia,costo_producto,costo_traspaso,costo_almacenamiento
43,3211117,169900, 03/06/2014, 05/27/2014,108906,1776,290
44,3350174,59990, 03/06/2014, 05/02/2014,38754,427,94
45,3451978,12990, 03/06/2014, 04/28/2014,8288,150,17
46,3820554,99990, 03/06/2014, 05/13/2014,73993,859,199
47,3302394,12990, 03/06/2014, 05/29/2014,9847,108,21
48,3607315,54990, 03/06/2014, 06/04/2014,43058,448,127
49,3825943,17990, 03/06/2014, 05/21/2014,13619,217,36
50,2657296,99990, 03/06/2014, 06/12/2014,77293,1021,191
51,2153780,7990, 03/06/2014, 05/04/2014,5138,89,12
52,3421338,50980, 03/06/2014, 05/20/2014,37471,416,86
53,3695241,309990, 03/06/2014, 06/05/2014,221333,4184,609
54,880172954,16990, 03/06/2014, 05/15/2014,13100,209,34
55,3663771,38990, 03/06/2014, 05/13/2014,23589,279,63
56,3871439,319990, 03/06/2014, 05/20/2014,205754,4033,459
57,1932796,25990, 03/06/2014, 06/03/2014,17336,248,36
58,3688655,139990, 03/06/2014, 05/02/2014,84694,1533,178
59,3305980,19990, 03/06/2014, 05/11/2014,13134,169,37
60,3732464,73900, 03/06/2014, 04/29/2014,53578,751,118
61,2619186,49990, 03/06/2014, 06/04/2014,37643,622,86
62,3881452,49990, 03/06/2014, 05/15/2014,33194,555,97
63,3581589,64990, 03/06/2014, 06/12/2014,50108,552,149
64,3379421,749990, 03/06/2014, 06/01/2014,544493,5772,1465
65,3680083,89990, 03/06/2014, 06/13/2014,57684,629,126
66,3704878,36990, 03/06/2014, 05/19/2014,28668,494,62
67,3714827,49900, 03/06/2014, 05/29/2014,39771,613,92
68,2521743,18990, 03/06/2014, 05/01/2014,14319,211,38
69,3169505,24900, 03/06/2014, 05/20/2014,18302,205,41
70,3670302,6900, 03/06/2014, 05/09/2014,4603,56,10
71,3764549,16990, 03/06/2014, 05/03/2014,10347,149,31
72,3659138,1290, 03/06/2014, 06/13/2014,1018,18,3
73,3133012,9900, 03/06/2014, 06/08/2014,7673,104,18
74,3514377,6990, 03/06/2014, 05/10/2014,4495,55,11
75,3632867,46990, 03/06/2014, 06/01/2014,31672,567,75
76,3525180,2990, 03/06/2014, 06/09/2014,2381,42,7
77,3548956,4990, 03/06/2014, 06/01/2014,3988,77,11
78,880171541,12990, 03/06/2014, 04/25/2014,8652,110,26
79,3629484,49990, 03/06/2014, 05/29/2014,39992,492,95
80,3565267,24990, 03/06/2014, 05/21/2014,16069,301,45
81,2438554,87000, 03/06/2014, 05/09/2014,66294,1234,146
82,3548922,4990, 03/06/2014, 05/23/2014,3893,78,8
83,3629287,24990, 03/06/2014, 06/14/2014,17943,232,46
84,3643360,29990, 03/06/2014, 05/04/2014,23723,326,58
85,3722238,9900, 03/06/2014, 05/05/2014,6921,87,15
86,3610315,44900, 03/06/2014, 04/28/2014,28781,573,72
87,3902733,999990, 03/06/2014, 05/01/2014,798993,10387,2166
88,3665626,12990, 03/06/2014, 05/31/2014,8054,116,22
89,3363058,13490, 03/06/2014, 05/20/2014,8971,173,25
90,3732727,89990, 03/06/2014, 06/01/2014,61824,1058,156
91,3663778,39990, 03/06/2014, 05/10/2014,31713,533,90
92,3691918,29990, 03/06/2014, 05/13/2014,23813,393,58
93,1912859,37900, 03/06/2014, 06/05/2014,25052,424,75
94,2564102,239990, 03/06/2014, 06/03/2014,173993,3463,362
95,2151118,29990, 03/06/2014, 06/06/2014,21083,401,46
96,3858857,49990, 03/06/2014, 05/02/2014,37293,519,79
97,3632874,49990, 03/06/2014, 05/19/2014,34844,394,84
98,3828077,189900, 03/06/2014, 04/29/2014,113940,1140,256
99,3541138,6990, 03/06/2014, 05/02/2014,5313,90,16
100,3611519,990, 03/06/2014, 04/25/2014,616,11,2
101,3873424,499990, 03/06/2014, 05/07/2014,364493,5832,981
102,3557420,69990, 03/06/2014, 05/13/2014,42834,532,98
103,3787067,31990, 03/06/2014, 05/16/2014,21242,281,52
104,3607579,19490, 03/06/2014, 06/09/2014,14930,227,36
105,3871474,339990, 03/06/2014, 05/22/2014,234254,2507,530
106,3825938,17990, 03/06/2014, 06/07/2014,13799,224,42
107,3491982,29990, 03/06/2014, 05/22/2014,23453,303,48
108,3870310,24990, 03/06/2014, 06/09/2014,18418,277,38
109,3316084,134990, 03/06/2014, 05/24/2014,96113,1731,284
110,2979398,79990, 03/06/2014, 05/15/2014,51514,1031,109
111,3839628,15990, 03/06/2014, 06/08/2014,10698,203,29
112,3466011,2290, 03/06/2014, 05/31/2014,1418,22,4
113,3149283,169990, 03/06/2014, 06/02/2014,130893,1375,362
114,3867764,89900, 03/06/2014, 04/30/2014,69763,768,170
115,3635103,69800, 03/06/2014, 05/02/2014,46557,550,96
116,2800184,149900, 03/06/2014, 05/04/2014,109128,2128,297
117,3880122,289990, 03/06/2014, 05/25/2014,208213,3040,590
118,2865507,6990, 03/06/2014, 05/13/2014,4747,90,11
119,3446650,239990, 03/06/2014, 04/26/2014,188153,2710,531
120,3613586,54900, 03/06/2014, 05/18/2014,36234,544,93
121,3537673,149990, 03/06/2014, 05/17/2014,99294,1192,280
122,3258651,29990, 03/06/2014, 06/12/2014,19074,330,51
123,3348302,259990, 03/06/2014, 05/24/2014,205133,2770,593
124,3658109,49990, 03/06/2014, 05/04/2014,32044,580,66
125,3607484,59990, 03/06/2014, 05/18/2014,47033,913,104
126,3610515,1499990, 03/06/2014, 04/25/2014,1006494,12783,2638
127,3506580,19990, 03/06/2014, 05/26/2014,13694,155,37
128,3464104,37500, 03/06/2014, 04/27/2014,24788,427,53
129,1816676,3490, 03/06/2014, 05/15/2014,2719,50,8
130,3877389,5990, 03/06/2014, 05/26/2014,4229,72,10
131,3761873,16990, 03/06/2014, 05/24/2014,10738,207,24
132,3349848,139900, 03/06/2014, 05/31/2014,100728,1451,236
133,1974863,6990, 03/06/2014, 05/17/2014,4271,72,13
134,3634975,64800, 03/06/2014, 05/28/2014,48860,626,108
135,3706667,34990, 03/06/2014, 05/08/2014,25088,339,71
136,3548967,5990, 03/06/2014, 05/24/2014,4445,59,11
137,2616031,59990, 03/06/2014, 05/28/2014,40014,661,121
138,3787011,31990, 03/06/2014, 05/18/2014,21562,382,62
139,3607445,69990, 03/06/2014, 05/25/2014,46194,837,128
140,3469347,17990, 03/06/2014, 05/29/2014,12432,193,26
141,3330338,6990, 03/06/2014, 04/26/2014,4502,72,10
142,3710014,25990, 03/06/2014, 04/25/2014,19051,193,46
143,3505506,499990, 03/06/2014, 06/14/2014,373493,5416,807
144,3466964,22990, 03/06/2014, 05/06/2014,17335,198,39
145,3834965,16990, 03/06/2014, 06/06/2014,12930,180,28
146,1820193,19990, 03/06/2014, 04/25/2014,12654,140,32
147,3363178,19490, 03/06/2014, 05/06/2014,12299,185,33
148,3563742,69990, 03/06/2014, 06/11/2014,55153,938,123
149,3608583,31990, 03/06/2014, 06/01/2014,24089,328,72
150,3352633,16990, 03/06/2014, 06/02/2014,13440,228,37
151,2977879,12990, 03/06/2014, 04/30/2014,8379,99,21
152,304820,22900, 03/06/2014, 06/01/2014,14176,149,32
153,3793205,9990, 03/06/2014, 05/24/2014,6634,111,19
154,3758836,39950, 03/06/2014, 06/13/2014,30442,503,66
155,2550121,4490, 03/06/2014, 06/12/2014,3381,59,9
156,3465987,7290, 03/06/2014, 06/12/2014,4506,75,12
157,3363146,20990, 03/06/2014, 05/09/2014,15323,255,37
158,3549399,61990, 03/06/2014, 05/16/2014,37876,531,107
159,2147194,21990, 03/06/2014, 05/19/2014,13348,142,36
160,3877996,11990, 03/06/2014, 05/23/2014,8441,169,26
161,3557503,99990, 03/06/2014, 05/22/2014,69894,1126,208
162,3549163,6990, 03/06/2014, 05/03/2014,4593,80,13
163,3293060,29990, 03/06/2014, 04/30/2014,21743,257,56
164,1816683,12990, 03/06/2014, 05/15/2014,9288,116,20
165,880171621,12990, 03/06/2014, 05/20/2014,8821,158,23
166,3700811,199900, 03/06/2014, 05/25/2014,142729,2427,394
167,3839718,12990, 03/06/2014, 06/01/2014,8158,150,21
168,3764203,179990, 03/06/2014, 06/04/2014,140033,2773,299
169,3871570,459990, 03/06/2014, 06/12/2014,313714,4173,917
170,3659139,1290, 03/06/2014, 06/04/2014,782,10,2
171,3629672,89990, 03/06/2014, 06/06/2014,61284,846,153
172,3632962,69990, 03/06/2014, 05/11/2014,54383,996,136
173,330744,38990, 03/06/2014, 04/25/2014,28463,453,63
174,3656160,169900, 03/06/2014, 05/10/2014,112814,1851,307
175,3792106,19990, 03/06/2014, 06/05/2014,12374,181,26
176,2807158,179900, 03/06/2014, 05/17/2014,138703,2650,378
177,3651215,1490, 03/06/2014, 04/25/2014,990,12,3
178,3491584,8510, 03/06/2014, 04/30/2014,5404,91,16
179,2189255,569900, 03/06/2014, 04/25/2014,396651,4641,956
180,3525138,5690, 03/06/2014, 06/08/2014,3836,39,9
181,3825989,22990, 03/06/2014, 05/20/2014,16944,260,46
182,3352271,179990, 03/06/2014, 05/09/2014,119514,1423,268
183,275732,7990, 03/06/2014, 05/22/2014,4994,70,12
184,3738432,14990, 03/06/2014, 04/28/2014,9174,151,23
185,2688126,219990, 03/06/2014, 06/01/2014,145634,2753,416
186,3414529,59900, 03/06/2014, 05/19/2014,36659,506,83
187,3673282,849990, 03/06/2014, 05/15/2014,532094,5907,1102
188,3747277,39990, 03/06/2014, 06/14/2014,28753,380,74
189,3814630,279990, 03/06/2014, 06/04/2014,218953,2278,526
190,3720337,29990, 03/06/2014, 06/13/2014,22883,325,50
191,3792136,34900, 03/06/2014, 06/03/2014,22127,310,67
192,3613409,44900, 03/06/2014, 05/06/2014,32373,609,81
193,3871565,549990, 03/06/2014, 06/13/2014,410293,7304,1067
194,3174232,149990, 03/06/2014, 04/28/2014,106343,1947,215
195,2017587,5990, 03/06/2014, 04/29/2014,4589,59,12
196,1827479,89990, 03/06/2014, 05/17/2014,69293,1359,151
197,3632901,49990, 03/06/2014, 06/11/2014,35493,512,97
198,3281843,34990, 03/06/2014, 06/08/2014,23514,377,49
199,3461772,17990, 03/06/2014, 05/03/2014,14159,145,41
200,3685222,99990, 03/06/2014, 05/11/2014,67494,952,156
201,3767956,42900, 03/06/2014, 06/08/2014,34192,616,102
202,3003006,129990, 03/06/2014, 06/03/2014,82154,1060,183
203,3864685,29990, 03/06/2014, 05/11/2014,19044,195,44
204,3307282,7990, 03/06/2014, 06/13/2014,6169,102,15
205,3414532,69900, 03/06/2014, 06/05/2014,45855,583,136
206,3633649,29990, 03/06/2014, 06/06/2014,20784,414,42
207,3853152,9990, 03/06/2014, 04/26/2014,7903,135,22
208,3871457,609990, 03/06/2014, 05/17/2014,454443,7862,1100
209,3846204,39000, 03/06/2014, 05/15/2014,28314,530,62
210,3705234,59990, 03/06/2014, 05/29/2014,44393,862,95
211,2841803,89900, 03/06/2014, 05/08/2014,54210,846,158
212,3003964,17990, 03/06/2014, 06/08/2014,10848,127,31
213,3466018,2290, 03/06/2014, 06/09/2014,1745,25,5
214,3725028,159900, 03/06/2014, 05/21/2014,100418,1738,217
215,2464129,81800, 03/06/2014, 05/02/2014,57997,725,159
216,3836376,449990, 03/06/2014, 05/13/2014,289794,4347,682
217,3738717,179990, 03/06/2014, 06/10/2014,122574,1582,324
218,3651218,1290, 03/06/2014, 05/08/2014,916,14,3
219,3839715,9990, 03/06/2014, 05/10/2014,7433,111,16
220,3661104,19990, 03/06/2014, 06/03/2014,14893,222,39
221,3243829,44990, 03/06/2014, 05/26/2014,32123,576,70
222,3740423,599990, 03/06/2014, 05/18/2014,448193,7261,1255
223,3739267,14990, 03/06/2014, 05/30/2014,9249,134,19
224,3633694,44900, 03/06/2014, 05/29/2014,31969,586,71
225,3491582,19260, 03/06/2014, 05/11/2014,13714,206,37
226,3459968,79990, 03/06/2014, 05/29/2014,50474,939,125
227,3564750,54990, 03/06/2014, 05/14/2014,34864,677,77
228,3466148,2990, 03/06/2014, 06/01/2014,2270,35,7
229,3787151,32990, 03/06/2014, 04/29/2014,25502,401,75
230,3660361,922990, 03/06/2014, 05/14/2014,710703,9169,1841
231,2279729,4990, 03/06/2014, 04/29/2014,3858,64,9
232,3563720,19990, 03/06/2014, 05/11/2014,14433,269,33
233,3720339,29990, 03/06/2014, 06/12/2014,21683,402,63
234,2012850,46990, 03/06/2014, 06/11/2014,31249,550,71
235,3336305,39990, 03/06/2014, 05/04/2014,25794,328,65
236,2468904,39990, 03/06/2014, 05/18/2014,24154,370,66
237,3894016,99990, 03/06/2014, 06/07/2014,77893,1543,194
238,880115491,4990, 03/06/2014, 05/05/2014,3289,40,8
239,2695123,32900, 03/06/2014, 04/26/2014,21714,250,65
240,1259154,5990, 03/06/2014, 04/27/2014,4337,46,13
241,3607807,59990, 03/06/2014, 05/07/2014,44813,874,124
242,3434016,49900, 03/06/2014, 05/15/2014,37425,438,111
243,3607514,74990, 03/06/2014, 06/08/2014,52419,645,134
244,2237756,119990, 03/06/2014, 05/14/2014,93833,1014,271
245,3338617,12990, 03/06/2014, 05/16/2014,8119,142,23
246,3389910,19990, 03/06/2014, 05/26/2014,14933,245,44
247,3561374,39900, 03/06/2014, 05/11/2014,30564,343,77
248,3867801,109900, 03/06/2014, 06/09/2014,68468,945,174
249,3876177,109990, 03/06/2014, 05/12/2014,69184,817,190
250,3549164,4990, 03/06/2014, 05/19/2014,3154,40,7
251,3633470,24900, 03/06/2014, 05/28/2014,18277,276,49
252,3353549,1490, 03/06/2014, 05/29/2014,930,18,3
253,3744269,109990, 03/06/2014, 05/07/2014,66984,1293,173
254,1827476,999900, 03/06/2014, 05/24/2014,662934,7889,1817
255,3235214,36990, 03/06/2014, 05/21/2014,23415,265,64
256,2196246,2890, 03/06/2014, 04/25/2014,2032,29,6
257,3211230,89990, 03/06/2014, 06/03/2014,56694,845,133
258,2376040,179900, 03/06/2014, 05/10/2014,141402,2390,411
259,3696607,89990, 03/06/2014, 04/30/2014,68933,731,188
260,3867770,104900, 03/06/2014, 05/23/2014,81088,1476,225
261,3613514,54900, 03/06/2014, 05/29/2014,37278,485,109
262,3201723,12990, 03/06/2014, 05/17/2014,10302,128,31
263,3370240,69990, 03/06/2014, 05/05/2014,45424,882,98
264,3671085,42990, 03/06/2014, 05/25/2014,33490,433,70
265,3465992,3890, 03/06/2014, 06/01/2014,3085,38,9
266,2819877,1990, 03/06/2014, 05/28/2014,1346,16,4
267,3690096,89990, 03/06/2014, 05/10/2014,67853,1005,145
268,3239381,89990, 03/06/2014, 05/14/2014,67853,1269,185
269,3624981,2990, 03/06/2014, 05/28/2014,2372,41,6
270,3646222,27990, 03/06/2014, 06/03/2014,22309,320,51
271,3688274,319990, 03/06/2014, 06/06/2014,235513,2403,519
272,3368483,22990, 03/06/2014, 04/29/2014,17657,179,39
273,2746014,229990, 03/06/2014, 05/27/2014,178473,3391,357
274,3432529,9990, 03/06/2014, 05/20/2014,6144,93,13
275,69666,15990, 03/06/2014, 05/02/2014,11753,176,27
276,2782191,22990, 03/06/2014, 06/06/2014,13840,167,30
277,3839714,9990, 03/06/2014, 05/23/2014,6884,124,15
278,3466271,24990, 03/06/2014, 05/04/2014,16194,303,37
279,3871452,499990, 03/06/2014, 05/29/2014,313494,3292,747
280,1896443,27900, 03/06/2014, 06/10/2014,19363,343,46
281,3320955,23990, 03/06/2014, 06/14/2014,18305,204,44
282,3433321,29990, 03/06/2014, 06/14/2014,22253,256,58
283,2831274,8400, 03/06/2014, 05/21/2014,5612,68,14
284,3760643,49990, 03/06/2014, 06/05/2014,33094,484,73
285,3697734,129990, 03/06/2014, 05/09/2014,92813,1810,191
286,2654628,68500, 03/06/2014, 05/30/2014,42402,832,106
287,3624980,2990, 03/06/2014, 06/12/2014,1845,35,5
288,3105367,11990, 03/06/2014, 05/05/2014,8705,172,25
289,3613055,39900, 03/06/2014, 06/08/2014,26334,345,76
290,2865043,6990, 03/06/2014, 05/08/2014,5159,58,16
291,3652622,99990, 03/06/2014, 06/10/2014,61594,1183,178
292,3612866,49900, 03/06/2014, 04/27/2014,36877,450,92
293,3894023,99990, 03/06/2014, 05/26/2014,79193,1141,172
294,3612997,34900, 03/06/2014, 06/08/2014,22720,353,61
295,2483295,19900, 03/06/2014, 05/01/2014,15920,249,47
296,3443000,13990, 03/06/2014, 06/12/2014,10297,146,30
297,3466963,19990, 03/06/2014, 05/25/2014,13834,238,33
298,3775260,24990, 03/06/2014, 05/29/2014,18643,269,42
299,3389808,69990, 03/06/2014, 06/05/2014,43604,624,115
300,3774787,24990, 03/06/2014, 05/06/2014,19743,360,49
301,3124557,79990, 03/06/2014, 05/11/2014,53194,1027,108
302,2483302,19900, 03/06/2014, 06/01/2014,14866,219,41
303,2488518,3690, 03/06/2014, 05/28/2014,2369,42,7
304,3700752,174900, 03/06/2014, 06/01/2014,126103,1942,280
305,3690105,179990, 03/06/2014, 05/07/2014,120234,1275,329
306,3727363,439990, 03/06/2014, 05/07/2014,330433,5122,962
307,880171726,12990, 03/06/2014, 05/17/2014,8249,90,20
308,3804774,14990, 03/06/2014, 04/29/2014,9864,108,27
309,3622971,49900, 03/06/2014, 05/26/2014,31138,527,71
310,3871564,399990, 03/06/2014, 05/25/2014,291993,4526,809
311,892251,2990, 03/06/2014, 05/02/2014,2010,40,6
312,3799440,74990, 03/06/2014, 06/10/2014,50019,666,132
313,880178814,14990, 03/06/2014, 06/05/2014,11198,157,24
314,3445774,79990, 03/06/2014, 05/27/2014,52634,801,120
315,3258278,59900, 03/06/2014, 05/08/2014,43668,651,124
316,3613331,54900, 03/06/2014, 05/22/2014,42219,786,112
317,3624968,1990, 03/06/2014, 06/11/2014,1256,24,4
318,3651216,1490, 03/06/2014, 04/28/2014,1058,20,3
319,2970261,7990, 03/06/2014, 06/02/2014,5066,71,12
320,3488160,32990, 03/06/2014, 05/02/2014,24149,327,57
321,3383664,29990, 03/06/2014, 05/11/2014,22103,367,54
322,3619667,69990, 03/06/2014, 05/30/2014,44304,638,92
323,3235345,199990, 03/06/2014, 06/03/2014,128194,1872,277
324,3056560,9990, 03/06/2014, 06/09/2014,5994,106,13
325,3740444,649990, 03/06/2014, 05/12/2014,494643,8162,1371
326,3710713,22990, 03/06/2014, 05/18/2014,17243,183,40
327,3812776,9990, 03/06/2014, 05/01/2014,6684,85,20
328,2725651,5990, 03/06/2014, 05/12/2014,4763,95,11
329,3036376,4990, 03/06/2014, 05/19/2014,3224,36,7
330,3681283,44900, 03/06/2014, 06/10/2014,27659,446,60
331,3795105,129900, 03/06/2014, 05/25/2014,95477,1490,254
332,3352778,4990, 03/06/2014, 05/21/2014,3708,67,9
333,3635047,86800, 03/06/2014, 06/09/2014,68399,1122,180
334,3622944,44900, 03/06/2014, 05/23/2014,29814,451,61
335,3506589,29990, 03/06/2014, 06/02/2014,21413,343,60
336,2092851,59990, 03/06/2014, 04/27/2014,47573,510,135
337,2092850,219990, 03/06/2014, 05/26/2014,146074,2046,297
338,3554678,25990, 03/06/2014, 06/09/2014,16920,292,40
339,880220636,23990, 03/06/2014, 05/20/2014,17705,247,38
340,3616251,49990, 03/06/2014, 05/26/2014,33994,633,101
341,3665023,29990, 03/06/2014, 05/11/2014,21923,250,48
342,880171617,14990, 03/06/2014, 06/07/2014,11393,186,30
343,3685286,99990, 03/06/2014, 06/09/2014,65394,792,132
344,3607465,64990, 03/06/2014, 04/26/2014,51603,537,123
345,3275964,119900, 03/06/2014, 05/17/2014,77935,1201,178
346,3846306,43000, 03/06/2014, 06/12/2014,29197,325,74
347,3491975,20990, 03/06/2014, 05/12/2014,14840,225,34
348,3445055,39990, 03/06/2014, 05/15/2014,25874,280,71
349,3828045,24990, 03/06/2014, 05/30/2014,19293,230,42
350,3081361,38990, 03/06/2014, 05/17/2014,31037,392,64
351,3552712,8990, 03/06/2014, 05/12/2014,6078,114,13
352,3653382,20990, 03/06/2014, 06/11/2014,13203,237,35
353,3741610,9790, 03/06/2014, 06/06/2014,7323,84,17
354,3678710,1690, 03/06/2014, 05/20/2014,1050,12,3
355,3635023,54800, 03/06/2014, 06/09/2014,32990,373,99
356,3746483,19990, 03/06/2014, 05/13/2014,15313,155,46
357,3455635,118990, 03/06/2014, 06/11/2014,77344,774,192
358,880167177,27990, 03/06/2014, 04/25/2014,20461,379,49
359,3767954,49900, 03/06/2014, 05/23/2014,30090,313,85
360,3466007,5690, 03/06/2014, 05/04/2014,3824,65,9
361,2799551,20500, 03/06/2014, 05/13/2014,13182,248,33
362,3617741,13990, 03/06/2014, 05/05/2014,9891,161,21
363,3697681,119990, 03/06/2014, 05/04/2014,77514,1551,217
364,3870429,56800, 03/06/2014, 05/29/2014,44532,481,119
365,1167076,13990, 03/06/2014, 05/21/2014,10521,164,27
366,3787172,29990, 03/06/2014, 06/10/2014,20754,335,46
367,3732435,74900, 03/06/2014, 06/05/2014,52206,768,135
368,3905460,36990, 03/06/2014, 05/03/2014,28816,410,85
369,3581517,39990, 03/06/2014, 05/31/2014,26754,493,73
370,2666117,159990, 03/06/2014, 05/02/2014,125753,1774,252
371,3877384,9990, 03/06/2014, 04/27/2014,6924,83,18
372,3349846,149900, 03/06/2014, 05/31/2014,105830,2096,221
373,3868040,16990, 03/06/2014, 05/08/2014,10823,128,28
374,3754620,19990, 03/06/2014, 05/01/2014,12594,227,34
375,3617758,13990, 03/06/2014, 05/30/2014,8604,95,23
376,3154058,189990, 03/06/2014, 05/01/2014,134323,2580,348
377,2530822,29990, 03/06/2014, 05/13/2014,18114,249,48
378,3619972,19990, 03/06/2014, 05/24/2014,15173,172,38
379,3565480,14990, 03/06/2014, 05/10/2014,11213,128,27
380,1827481,449990, 03/06/2014, 05/09/2014,328943,3323,889
381,3674487,32900, 03/06/2014, 06/03/2014,26189,430,55
382,3624979,2990, 03/06/2014, 05/24/2014,2013,38,5
383,3697707,21990, 03/06/2014, 05/08/2014,15415,296,46
384,3722241,9900, 03/06/2014, 05/10/2014,7287,85,18
385,3535702,9990, 03/06/2014, 05/08/2014,6604,76,17
386,3353558,1490, 03/06/2014, 06/02/2014,1100,21,3
387,3379499,719990, 03/06/2014, 05/19/2014,539993,7452,1377
388,3468042,249990, 03/06/2014, 05/13/2014,163744,2932,451
389,3563711,4990, 03/06/2014, 05/03/2014,3513,67,9
390,3719189,119990, 03/06/2014, 05/09/2014,74034,1141,201
391,3721353,69990, 03/06/2014, 05/31/2014,42834,579,120
392,2488507,6990, 03/06/2014, 05/22/2014,4565,62,12
393,3742799,24990, 03/06/2014, 05/05/2014,18843,270,45
394,3613508,39900, 03/06/2014, 05/07/2014,24339,419,73
395,3605066,170000, 03/06/2014, 05/24/2014,102510,1610,261
396,3651477,2990, 03/06/2014, 05/12/2014,1821,31,5
397,3467739,599990, 03/06/2014, 04/26/2014,469193,7977,1066
398,3710335,22990, 03/06/2014, 05/21/2014,16048,235,33
399,3495839,17990, 03/06/2014, 05/30/2014,12629,209,28
400,2865064,5990, 03/06/2014, 05/19/2014,4613,49,12
401,3387315,10990, 03/06/2014, 05/23/2014,7089,77,17
402,3695530,1690000, 03/06/2014, 06/10/2014,1066390,12477,2912
403,3807651,199990, 03/06/2014, 05/14/2014,157393,2645,451
404,1845371,32300, 03/06/2014, 05/02/2014,24032,421,60
405,2284925,36900, 03/06/2014, 06/03/2014,24834,328,74
406,3219728,119900, 03/06/2014, 05/23/2014,85489,1608,230
407,3817715,69990, 03/06/2014, 05/19/2014,55363,1014,134
408,3121547,24990, 03/06/2014, 06/06/2014,16219,305,33
409,880133133,4990, 03/06/2014, 06/01/2014,3713,45,9
410,3894051,99990, 03/06/2014, 05/17/2014,70093,1269,158
411,2447776,24990, 03/06/2014, 05/24/2014,17069,248,46
412,3275976,229900, 03/06/2014, 05/14/2014,138400,2768,388
413,3722235,18900, 03/06/2014, 05/23/2014,12985,195,32
414,2993779,12990, 03/06/2014, 05/01/2014,9314,157,27
415,3722229,24900, 03/06/2014, 06/03/2014,19472,341,41
416,3736873,8990, 03/06/2014, 06/02/2014,5592,79,13
417,880154810,39990, 03/06/2014, 06/14/2014,26154,296,77
418,3154055,19990, 03/06/2014, 05/27/2014,12534,172,31
419,3799466,49990, 03/06/2014, 05/11/2014,36443,616,79
420,3629681,229990, 03/06/2014, 05/19/2014,140524,2263,325
421,3292946,1290, 03/06/2014, 05/10/2014,949,18,3
422,3786997,32990, 03/06/2014, 04/28/2014,20553,212,45
423,3379416,489990, 03/06/2014, 05/29/2014,296934,4633,787
424,880171613,24990, 03/06/2014, 04/29/2014,15444,238,39
425,3259689,64990, 03/06/2014, 06/08/2014,45104,551,119
426,2586731,74990, 03/06/2014, 05/25/2014,56768,909,159
427,3902100,99990, 03/06/2014, 05/29/2014,75193,1474,153
428,3466275,24990, 03/06/2014, 04/28/2014,15544,176,37
429,3700728,39990, 03/06/2014, 05/01/2014,25274,380,63
430,3635599,1990, 03/06/2014, 05/11/2014,1425,25,3
431,3618644,29990, 03/06/2014, 05/24/2014,23693,434,53
432,3633425,44900, 03/06/2014, 06/03/2014,32373,405,75
